id,resource_type,label,source_url,host,lessons,legacy_source_files,local_matches,suggested_action,status,new_url,notes
resource-0447,media,https://www.personalgrowthcourses.net/video/stanford_prison_experiment,https://www.personalgrowthcourses.net/video/stanford_prison_experiment,www.personalgrowthcourses.net,20;21,trfc20a.php;trfc21b.php,WTKvideos|exact-stem|/mnt/c/datasources/WTKvideos/STANFORD_PRISON_EXPERIMENT.mp4,migrate-local-video-candidate,needs-review,,
resource-0448,link,life is holographic,http://www.scribd.com/doc/15765052/Our-World-May-Be-a-Giant-Hologram,www.scribd.com,20,trfc20b.php,,review-external-link,needs-review,,
resource-0449,link,Milgram Experiment,http://en.wikipedia.org/wiki/Milgram_experiment,en.wikipedia.org,20,trfc20a.php,,review-external-link,needs-review,,
resource-0450,link,physicists,http://en.wikipedia.org/wiki/Holonomic_brain_theory,en.wikipedia.org,20,trfc20b.php,,review-external-link,needs-review,,
resource-0451,link,powerful poem,http://en.wikipedia.org/wiki/First_they_came...,en.wikipedia.org,20,trfc20a.php,,review-external-link,needs-review,,
resource-0452,link,resonant reflection,https://www.WantToKnow.info/wingmakers#gratitude,www.wanttoknow.info,20,trfc20b.php,,review-external-link,needs-review,,
resource-0453,link,Stanford Prison Experiment,http://en.wikipedia.org/wiki/Stanford_prison_experiment,en.wikipedia.org,20,trfc20a.php,,review-external-link,needs-review,,
resource-0454,media-file,Yin Yang Photo: Transcending Duality,https://www.personalgrowthcourses.net/images/yinyangphoto.jpg,www.personalgrowthcourses.net,20,trfc20b.php,,review-legacy-hosted,needs-review,,
resource-0455,media-file,Yin Yang Photo: Transcending Duality,https://www.personalgrowthcourses.net/images/heart_table.gif,www.personalgrowthcourses.net,20,trfc20b.php,,review-legacy-hosted,needs-review,,
resource-0456,media-file,Yin Yang Symbol: Transcending Duality,https://www.personalgrowthcourses.net/images/yinyang.jpg,www.personalgrowthcourses.net,20,trfc20a.php,,review-legacy-hosted,needs-review,,
resource-0457,link,501(c)(3) nonprofit,https://www.peerservice.org/501c3nonprofitstatus,www.peerservice.org,21,trfc21c.php,,review-external-link,needs-review,,
resource-0458,link,an atheist,https://www.WantToKnow.info/061218newsarticles#akiane,www.wanttoknow.info,21,trfc21a.php,,review-external-link,needs-review,,
resource-0459,link,an entire movement,http://www.freehugscampaign.org,www.freehugscampaign.org,21,trfc21a.php,,review-external-link,needs-review,,
resource-0460,link,available here,http://www.nytimes.com/2006/01/12/fashion/thursdaystyles/12INDIGO.html?ex=1294722000&en=f6e3081fa1ad8ae6&ei=5090&partner=rssuserland&emc=rss,www.nytimes.com,21,trfc21a.php,,review-external-link,needs-review,,
resource-0461,link,Bill Pay,https://www.peerservice.org/bill-pay,www.peerservice.org,21,trfc21c.php,,review-external-link,needs-review,,
resource-0462,link,Bioneers,http://www.bioneers.org/,www.bioneers.org,21,trfc21a.php,,review-external-link,needs-review,,
resource-0463,link,click here,http://www.akiane.com,www.akiane.com,21,trfc21a.php,,review-external-link,needs-review,,
resource-0464,link,click here,https://www.transformationteam.net/ttcourse/ttlessonfinal,www.transformationteam.net,21,trfc21b.php,legacy-archive|exact-stem|/mnt/c/datasources/transformation-team-site/archive/original-httpdocs/ttcourse/ttlessonfinal.php,review-local-page-candidate,needs-review,,
resource-0465,link,contact us,https://www.transformationteam.net/contactustt,www.transformationteam.net,21,trfc21c.php,legacy-archive|exact-stem|/mnt/c/datasources/transformation-team-site/archive/original-httpdocs/contactustt.php,review-local-page-candidate,needs-review,,
resource-0466,media-file,Donate,https://www.transformationteam.net/checkout/checkout_paypal.jpg,www.transformationteam.net,21,trfc21c.php,,review-legacy-hosted,needs-review,,
resource-0467,link,Donate,https://donorbox.org/peers-transformation-course,donorbox.org,21,trfc21c.php,,review-external-link,needs-review,,
resource-0468,link,Donorbox,https://donorbox.org/,donorbox.org,21,trfc21c.php,,review-external-link,needs-review,,
resource-0469,media-file,dove_child.jpg,https://www.personalgrowthcourses.net/images/dove_child.jpg,www.personalgrowthcourses.net,21,trfc21b.php,,review-legacy-hosted,needs-review,,
resource-0470,media-file,Girl Meditating with Inner Tree,https://www.personalgrowthcourses.net/images/girltreemeditating.jpg,www.personalgrowthcourses.net,21,trfc21b.php,,review-legacy-hosted,needs-review,,
resource-0471,link,Google video search,https://www.google.com/search?q='free+hugs'&num=40&tbm=vid,www.google.com,21,trfc21a.php,,review-external-link,needs-review,,
resource-0472,link,http://www.dailyom.com/articles/2007/9469.html,http://www.dailyom.com/articles/2007/9469.html,www.dailyom.com,21,trfc21b.php,,review-external-link,needs-review,,
resource-0473,media-file,Interconnected Like a Flower of Life,https://www.personalgrowthcourses.net/images/floweroflifesimple.jpg,www.personalgrowthcourses.net,21,trfc21c.php,,review-legacy-hosted,needs-review,,
resource-0474,media-file,interconnectedness_dolphins.jpg,https://www.personalgrowthcourses.net/images/interconnectedness_dolphins.jpg,www.personalgrowthcourses.net,21,trfc21a.php,,review-legacy-hosted,needs-review,,
resource-0475,media-file,PayPal QR Code,https://www.personalgrowthcourses.net/images/paypalqrcode.png,www.personalgrowthcourses.net,21,trfc21c.php,,review-legacy-hosted,needs-review,,
resource-0476,link,PEERS,https://www.peerservice.org,www.peerservice.org,21,trfc21c.php,,review-external-link,needs-review,,
resource-0477,link,Pronoia,http://www.amazon.com/exec/obidos/tg/detail/-/1583941231/qid=1117646708/sr=1-1/ref=sr_1_1/104-8504044-3522341?tag=wanttinfo-20&v=glance&s=books,www.amazon.com,21,trfc21b.php,,review-external-link,needs-review,,
resource-0478,media-file,random_kindness_plead.jpg,https://www.personalgrowthcourses.net/sacred_cows/random_kindness_plead.jpg,www.personalgrowthcourses.net,21,trfc21c.php,,review-legacy-hosted,needs-review,,
resource-0479,link,"Religions, Values, and Peak Experiences",http://www.amazon.com/Religions-Values-Experiences-Abraham-Maslow/dp/0140194878?tag=wanttinfo-20,www.amazon.com,21,trfc21b.php,,review-external-link,needs-review,,
resource-0480,link,Rob Brezsny,http://www.freewillastrology.com,www.freewillastrology.com,21,trfc21b.php,,review-external-link,needs-review,,
resource-0481,link,Stripe,https://stripe.com/,stripe.com,21,trfc21c.php,,review-external-link,needs-review,,
resource-0482,media-file,We're all interconnected,https://www.personalgrowthcourses.net/images/sixpersonconnect.jpg,www.personalgrowthcourses.net,21,trfc21a.php,,review-legacy-hosted,needs-review,,
resource-0483,media,www.personalgrowthcourses.net/video/akiane_prodigy...,https://www.personalgrowthcourses.net/video/akiane_prodigy_child_artist,www.personalgrowthcourses.net,21,trfc21a.php;trfc21b.php,legacy-archive|exact-stem|/mnt/c/datasources/transformation-team-site/archive/original-httpdocs/video/akiane_prodigy_child_artist.php,review-local-page-candidate,needs-review,,
resource-0484,media,www.personalgrowthcourses.net/video/blessed...,https://www.personalgrowthcourses.net/video/blessed_unrest_hawken,www.personalgrowthcourses.net,21,trfc21a.php;trfc21b.php,,review-legacy-hosted,needs-review,,
resource-0485,media,www.personalgrowthcourses.net/video/free_hugs_campaign,https://www.personalgrowthcourses.net/video/free_hugs_campaign,www.personalgrowthcourses.net,21,trfc21a.php;trfc21b.php,legacy-archive|exact-stem|/mnt/c/datasources/transformation-team-site/archive/original-httpdocs/video/free_hugs_campaign.php,review-local-page-candidate,needs-review,,
resource-0486,link,www.weboflove.org/boyslastwish,https://www.weboflove.org/boyslastwish,www.weboflove.org,21,trfc21a.php;trfc21b.php,,review-external-link,needs-review,,
